TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


316,1 8
316,1 53 
367,45 100 
367,45 53 
388,77 2
388,77 2
388,77 2
388,77 60 
1394,19 111 
2416,88 114 
2451,85 60 
2836,92 61 
3850,96 62 
4264,05 64 
4538,33 121 
5043,2 125 
5508,54 137 
5566,67 66 
6113,61 144 
6115,7 144 
6117,12 144 
6592,25 101 
6593,73 100 
6593,73 53 
6617,69 1
6617,69 2
6617,69 2
6617,69 60 
7671,01 61 
8397,76 63 
8416,34 60 
39425,4 61 
40439,52 62 
41078,89 64 
41342,77 121 
41863,24 125 
42181,26 137 
42384,83 66 
42917,36 144 
42919,11 144 
42920,55 144 
43397,87 101 
43399,13 100 
43399,13 53 
43455,26 1
43455,26 1
43455,26 2
43455,26 60 
43531,8 61 
44554,79 62 
44953,47 64 
45222,14 123 
45745,49 125 
46268,82 65 
46569,81 137 
46815,76 144 
46817,66 144 
46818,88 144 
47296,36 101 
47297,59 100 
47297,59 53 
47337,15 1
47337,15 2
47337,15 1
47337,15 60 
47418,27 61 
48437,7 62 
48696,06 64 
48934,8 123 
49443,27 125 
49965,31 65 
50012,81 137 
50497,81 144 
50499,32 144 
50500,28 144 
50979,09 101 
50980,2 100 
50980,2 53 
51019,48 1
51019,48 1
51019,48 2
51019,48 60 
51495,12 61 
52519,09 62 
52875,67 64 
53090,83 123 
53624,09 125 
54132,07 65 
54551,67 137 
54656,83 144 
54658,1 144 
54659 144 
55143,05 101 
55144,22 100 
55144,22 53 
55184,14 1
55184,14 2
55184,14 1
55184,14 60 
55351,85 61 
56368,94 62 
56429,22 64 
56711,09 123 
57241,21 125 
57763,81 65 
58333,88 144 
58335,39 144 
58401,94 144 
58792,01 101 
58793,16 100 
58793,16 53 
58833,41 1
58833,41 2
58833,41 2
58833,41 60 
58944,43 61 
59967,29 62 
60267,55 64 
60526 123 
61056,65 125 
61505,82 137 
61578,49 65 
62129,57 144 
62131,48 144 
62132,69 144 
63769,98 101 
63771,09 100 
63771,09 53 
63815,28 1
63815,28 2
63815,28 2
63815,28 60 
64285,02 61 
65298,19 62 
65343,49 64 
65687,75 123 
66204,21 125 
66726,8 65 
67296,73 144 
67298,7 144 
67602,64 144 
67756,6 101 
67757,84 100 
67757,84 53 
67796,76 2
67796,76 2
67796,76 2
67796,76 60 
67903,89 61 
68913,3 62 
69427,9 64 
69631,08 123 
70135,66 125 
70658,55 66 
71163,2 144 
71164,55 144 
71419,76 144 
71655,09 101 
71656,26 100 
71656,26 53 
71695,86 1
71695,86 2
71695,86 2
71695,86 60 
72047,26 61 
73062,06 62 
73175,23 64 
73435,17 123 
73967,09 125 
74476,46 65 
74995,29 144 
74996,71 144 
75264,22 144 
75487,1 101 
75488,44 100 
75488,44 53 
75528,03 1
75528,03 2
75528,03 1
75528,03 60 
75768,83 61 
76778,83 62 
76804,92 64 
77143,36 123 
77685,16 125 
78115,61 137 
78207,88 65 
78756,15 144 
78758,4 144 
78759,74 144 
79235,39 101 
79236,57 100 
79236,57 53 
79277,09 1
79277,09 1
79277,09 2
79277,09 60 
79362,63 61 
80375,63 62 
80488,06 64 
80745,84 123 
81299,45 125 
81776,28 137 
81846,02 65 
82354,86 144 
82356,4 144 
82357,77 144 
82834,75 101 
82835,86 100 
82835,86 53 
82875,57 1
82875,57 2
82875,57 2
82875,57 60 
83020,23 61 
84029,98 63 
84043,12 60 
84285,31 113 
84573,25 114 
84608,38 60 
84833,15 61 
85819,34 63 
85841,41 60 
86161,69 113 
86351,92 114 
86390,91 60 
86602,41 61 
87623,58 62 
87751,44 64 
88038,98 123 
88560,48 125 
89070,81 65 
89623,95 144 
89625,65 144 
90098,56 101 
90099,74 100 
90099,74 53 
90123,27 1
90123,27 2
90123,27 2
90123,27 60 
90128,74 113 
92130,57 114 
92172,46 60 
92564,45 61 
93573,35 62 
94833,35 64 
95105,46 123 
95642,45 125 
96150,77 65 
96671,48 144 
96672,81 144 
96933,89 144 
97163,2 101 
97164,4 100 
97164,4 53 
97204,15 2
97204,15 2
97204,15 2
97204,15 60 
97364,6 61 
98386,8 62 
101265,72 64 
101508,23 123 
102025,19 125 
102531,65 66 
103053,63 144 
103055,17 144 
103179,18 144 
105291,72 101 
105292,94 100 
105292,94 53 
105334,96 1
105334,96 2
105334,96 2
105334,96 60 
105615,52 113 
106041,9 114 
106084,36 60 
106311,69 61 
107333,14 62 
110278,89 64 
110539,67 123 
111070,78 125 
111579,42 65 
112083,44 144 
112084,8 144 
112484,15 144 
112574,59 101 
112576 100 
112576 53 
112617,09 2
112617,09 2
112617,09 2
112617,09 60 
112725,73 61 
113749,32 62 
113797,93 64 
114141,69 123 
114673,19 125 
115196,09 66 
115561,75 137 
115758,37 144 
115760,1 144 
115761,13 144 
116222,57 101 
116223,76 100 
116223,76 53 
116264,39 1
116264,39 2
116264,39 1
116264,39 60 
116309,28 61 
117331,38 62 
117755,33 64 
120774,28 123 
121317,27 125 
121826,52 65 
122398,19 144 
122399,39 144 
122550,72 144 
122870,45 101 
122871,62 100 
122871,62 53 
122912,37 1
122912,37 2
122912,37 2
122912,37 60 
122993,12 61 
124011,76 62 
124079,43 64 
124336,84 123 
124854,76 125 
125374,32 65 
125878,74 144 
125880,01 144 
125988,26 144 
127717,12 101 
127718,87 100 
127718,87 53 
127760,98 1
127760,98 1
127760,98 2
127760,98 60 
128032,02 113 
128420,1 114 
128461,54 60 
128678,26 61 
129693,16 62 
130115,22 64 
130374,8 123 
130900,79 125 
131424,32 65 
131928,22 144 
131929,63 144 
132277,28 144 
132418,87 101 
132420,02 100 
132420,02 53 
132459,65 2
132459,65 2
132459,65 2
132459,65 60 
132636,77 61 
133660,03 62 
134054,06 64 
134274,96 123 
134813,21 125 
135323,66 66 
135842,66 144 
135843,98 144 
136023,6 144 
138132,2 101 
138133,42 100 
138133,42 53 
138174,05 1
138174,05 2
138174,05 2
138174,05 60 
138468,32 113 
138815,81 114 
138857,17 60 
139082,67 61 
140091,68 62 
140340,04 64 
140659,42 123 
141148,72 125 
141669,32 65 
