TotalRequired,  100
t_hold_target,  450
T_Hold_Lev,  1000


74,78 8
74,78 51 
125,53 100 
125,53 51 
139,95 1
139,95 2
139,95 2
139,95 60 
11584,92 61 
12221,09 63 
12233,57 60 
13377,9 61 
13445,9 63 
13467,43 60 
13829,82 111 
15227,56 114 
15265,87 60 
15787,04 111 
15899,56 114 
15933,46 60 
22203,79 111 
22310,69 114 
22346,97 60 
24000,13 111 
24296,6 114 
24329,48 60 
45047,46 111 
45151,52 114 
45189,18 60 
45787 111 
46288,19 114 
46323,03 60 
71254,39 112 
71353,93 114 
71397,05 60 
71944,89 112 
72398,31 114 
72430,83 60 
103765,89 61 
104785,78 62 
105044,08 64 
105421,35 121 
105942,72 125 
106419,93 137 
106480,94 65 
107015,2 144 
107016,88 144 
107018,74 144 
107495,49 101 
107496,98 100 
107496,98 51 
107535,59 1
107535,59 1
107535,59 2
107535,59 60 
109262,78 111 
109414,05 114 
109451,06 60 
109829,5 111 
110361,34 114 
110400,91 60 
111528,6 61 
112550,67 62 
113330,77 64 
113629,48 121 
114168,85 125 
114413,56 137 
114679,45 65 
115245,67 144 
115247,19 144 
115249,74 144 
115707,41 101 
115708,77 100 
115708,77 51 
115750,16 2
115750,16 1
115750,16 2
115750,16 60 
117522,66 111 
118628,42 114 
118664,81 60 
119187,12 61 
120183,82 63 
120198,64 60 
120615,5 112 
120937,58 114 
120980,71 60 
121233,12 61 
122247,4 62 
122731,16 64 
131698,83 121 
132215,68 125 
132725,26 66 
133278,56 144 
133280,99 144 
133751,14 101 
133752,54 100 
133752,54 51 
133776,74 1
133776,74 2
133776,74 1
133776,74 60 
133782,74 111 
133864,28 114 
133894,39 60 
133930,59 112 
133985,28 114 
134009,78 60 
176965,17 61 
177978,12 62 
185895,03 64 
187986,21 252 
187986,21 101 
187988,03 100 
187988,03 51 
188008,52 1
188008,52 2
188008,52 1
188008,52 60 
215793,08 111 
215875,05 114 
215900,39 60 
216442,61 111 
216525,26 114 
216549,11 60 
254289,25 111 
255204,59 114 
255253,22 60 
343346,87 61 
344356,84 62 
345741,45 64 
346219,17 122 
346793,2 125 
346926,56 137 
347304,5 66 
347856,56 144 
347858,56 144 
347859,58 144 
348331,82 101 
348333,15 100 
348333,15 51 
348372,65 1
348372,65 2
348372,65 2
348372,65 60 
348493,77 61 
349507,55 62 
350401,63 64 
359513,41 252 
359513,41 101 
359515,46 100 
359515,46 51 
359535,62 1
359535,62 2
359535,62 2
359535,62 60 
392972,01 111 
393062,65 114 
393107,35 60 
393298,8 111 
393610,73 114 
393657,59 60 
393990,14 111 
394094,56 114 
394124,42 60 
394999,12 112 
395079,88 114 
395123,73 60 
510150 61 
511169,19 62 
511692,98 64 
512013,53 121 
512586,91 125 
513100,85 65 
513652,15 144 
513653,84 144 
514125,83 101 
514126,97 100 
514126,97 51 
514151,41 1
514151,41 2
514151,41 1
514151,41 60 
514157,34 111 
515757,8 114 
515800,58 60 
516211,76 111 
517118,38 114 
517150,24 60 
518373,44 61 
519386,18 62 
520100,56 64 
520553,04 122 
521058,66 125 
521193,52 137 
521580,35 66 
522110,62 144 
522112,38 144 
522113,47 144 
522565,21 141 
522596,65 101 
522597,92 100 
522597,92 51 
522615,42 1
522615,42 2
522615,42 2
522615,42 60 
522648,71 111 
523367,81 114 
523398,33 60 
523604,17 61 
524453,29 63 
524464,96 60 
524969,76 113 
525033,19 114 
525064,15 60 
525303,54 61 
526313,88 62 
526742,59 64 
527123,24 123 
527654,12 125 
528175,95 66 
528192,25 137 
528726,23 144 
528727,69 144 
528728,8 144 
529206,68 101 
529207,97 100 
529207,97 51 
529246,34 1
529246,34 2
529246,34 2
529246,34 60 
529420,48 61 
530431,39 62 
530912,55 64 
531422,85 122 
531979,16 125 
532003,92 137 
532492,77 66 
533040,4 144 
533042,09 144 
533043,52 144 
533520,44 101 
533521,76 100 
533521,76 51 
533561,44 2
533561,44 2
533561,44 2
533561,44 60 
534585,41 111 
535479,68 114 
535527,43 60 
536836,59 61 
537845,21 62 
538274,21 64 
538704,13 121 
539233,34 125 
539755,56 66 
540022,65 137 
540304,63 144 
540306,33 144 
540308,19 144 
540785,55 101 
540786,8 100 
540786,8 51 
540827,06 1
540827,06 2
540827,06 2
540827,06 60 
541278,29 61 
542292,4 62 
544261,53 64 
544839,42 121 
545365,38 125 
545888,61 65 
546442,87 144 
546445,15 144 
546915,42 101 
546916,69 100 
546916,69 51 
546940,36 1
546940,36 2
546940,36 2
546940,36 60 
546947,09 111 
547725,89 114 
547773,46 60 
548237,89 61 
549257,38 62 
549421,4 64 
549800,84 121 
550369,15 125 
550721,17 137 
550885,54 65 
551434,18 144 
551435,95 144 
551437,23 144 
551914,36 101 
551915,61 100 
551915,61 51 
551955,48 2
551955,48 1
551955,48 2
551955,48 60 
552152,3 61 
553170,84 62 
553335,07 64 
553794,75 121 
554328,49 125 
554850,59 66 
555093,35 137 
555401,32 144 
555403,03 144 
555404,43 144 
555879,99 101 
555881,37 100 
555881,37 51 
555921,81 1
555921,81 2
555921,81 2
555921,81 60 
556024,85 61 
557036,38 62 
557285,48 64 
557656,01 121 
558220,28 125 
558734,61 65 
559303,25 144 
559305,98 144 
559762,33 101 
559763,59 100 
559763,59 51 
559786,21 1
559786,21 2
559786,21 2
559786,21 60 
559792,48 111 
560677,31 114 
560719,03 60 
561254,65 111 
561574,59 114 
561620,04 60 
562021,92 61 
562609,19 63 
562618,75 60 
563079,1 111 
563717,37 114 
563769,06 60 
564006,24 61 
565018,1 62 
565198,67 64 
565611,45 121 
566143,36 125 
566664,97 65 
567167,46 144 
567170,67 144 
567467,8 144 
567658,64 101 
567659,82 100 
567659,82 51 
567700,2 1
567700,2 2
567700,2 2
567700,2 60 
568223,89 61 
569191,91 63 
569200,59 60 
569564,94 111 
572324,87 114 
572365,34 60 
572691,26 61 
573698,13 62 
573927,48 64 
574319,6 121 
574882,15 125 
575394,39 65 
575898,04 144 
575899,84 144 
575998,34 144 
576389,24 101 
576390,39 100 
576390,39 51 
576430,61 1
576430,61 2
576430,61 2
