TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


65,95 8
65,95 53 
114,9 100 
114,9 53 
137,15 2
137,15 2
137,15 2
137,15 60 
2733,92 61 
3752,56 62 
4032,93 64 
4344,54 121 
4910,54 125 
5270,74 137 
5429,82 66 
5880,63 144 
5882,36 144 
5884,35 144 
6359,35 101 
6360,81 100 
6360,81 53 
6400,46 1
6400,46 2
6400,46 1
6400,46 60 
7166,42 61 
8184,29 62 
8950,34 64 
18191,26 252 
18191,26 101 
18193,51 100 
18193,51 53 
18213,04 1
18213,04 2
18213,04 1
18213,04 60 
21339 111 
22461,74 114 
22495,6 60 
24017,01 61 
25028,78 62 
25370,79 64 
30560,02 121 
30908,98 124 
40445,27 121 
41028,04 125 
41536,35 66 
41826,37 137 
41983,99 144 
41985,8 144 
41987,37 144 
42255,56 141 
42347,02 144 
42349,27 144 
42353,18 144 
42464,57 101 
42465,71 100 
42465,71 53 
42521,57 1
42521,57 2
42521,57 2
42521,57 60 
42637,99 61 
43654,4 62 
44113,53 64 
44460,63 123 
44980,61 125 
45501,02 65 
45955,9 144 
45957,37 144 
46164,95 144 
46430 101 
46431,18 100 
46431,18 53 
46470,42 2
46470,42 2
46470,42 2
46470,42 60 
46695,57 61 
47497,95 63 
47519,89 60 
48099,09 61 
49121,35 62 
49390,13 64 
49739,71 121 
50259,83 125 
50706,15 137 
50783,07 66 
51231,09 144 
51232,63 144 
51233,78 144 
51710,2 101 
51711,4 100 
51711,4 53 
51751,79 1
51751,79 2
51751,79 2
51751,79 60 
53679,09 111 
54228,76 114 
54251,16 60 
54493,45 61 
55503,4 62 
57794,27 64 
59404,45 121 
59922,09 125 
59990,58 137 
60430,86 66 
60877,42 144 
60878,94 144 
60879,87 144 
61358,48 101 
61359,76 100 
61359,76 53 
61399,52 1
61399,52 1
61399,52 2
61399,52 60 
63127,8 111 
63400,21 114 
63447,94 60 
63845,43 111 
64000,68 114 
64047,78 60 
93699,74 61 
94722,23 62 
95878,28 64 
104730,2 252 
104730,2 101 
104732,07 100 
104732,07 53 
104752,06 1
104752,06 1
104752,06 2
104752,06 60 
104756,62 61 
105767,22 62 
107341,78 64 
115775,75 252 
115775,75 101 
115777,7 100 
115777,7 53 
115798,67 1
115798,67 1
115798,67 2
115798,67 60 
117079,62 61 
118096,17 62 
119793,62 64 
128104,26 252 
128104,26 101 
128106 100 
128106 53 
128126,83 1
128126,83 1
128126,83 2
128126,83 60 
129815,36 61 
130826,73 62 
132350,17 64 
140834,89 252 
140834,89 101 
140836,75 100 
140836,75 53 
140855,91 1
140855,91 1
140855,91 2
140855,91 60 
142129,69 111 
142197,93 114 
142223,05 60 
151441,27 61 
152452,54 62 
153099,61 64 
162459,43 252 
162459,43 101 
162461,11 100 
162461,11 53 
162482,01 1
162482,01 1
162482,01 2
162482,01 60 
164165,82 111 
165001,99 114 
165049,03 60 
165279,25 61 
166297,1 62 
171285,41 64 
172724,95 121 
172937,72 124 
173059,91 121 
173253,11 124 
183254,38 252 
183254,38 101 
183256,24 100 
183256,24 53 
183275,38 1
183275,38 1
183275,38 2
183275,38 60 
186678,06 61 
187691,56 62 
191184,63 64 
197699,36 252 
197699,36 101 
197701,22 100 
197701,22 53 
197720,45 1
197720,45 1
197720,45 2
197720,45 60 
199107,04 61 
200120,25 62 
206583,39 64 
210127,37 252 
210127,37 101 
210129,07 100 
210129,07 53 
210151,68 1
210151,68 1
210151,68 2
210151,68 60 
210157,38 61 
211166,16 62 
214797,35 64 
221173,49 252 
221173,49 101 
221175,3 100 
221175,3 53 
221196,11 1
221196,11 1
221196,11 2
221196,11 60 
233572,46 61 
234592,24 62 
235254,36 64 
235594,82 123 
236115,27 125 
236290,75 137 
236637,5 65 
237086,94 144 
237088,64 144 
237090,3 144 
237565,81 101 
237567,11 100 
237567,11 53 
237607,49 1
237607,49 2
237607,49 2
237607,49 60 
237679,3 61 
238691,79 62 
239160,09 64 
239492,62 123 
240033,92 125 
240484,56 137 
240554,73 65 
241001,14 144 
241002,81 144 
241004,01 144 
242689,49 101 
242691,06 100 
242691,06 53 
242739,04 1
242739,04 2
242739,04 2
242739,04 60 
242976,67 113 
244171,45 114 
244205,21 60 
245851,62 61 
246870,48 62 
249286,71 64 
249818,39 123 
250341,97 125 
250753,64 137 
250851,23 65 
251298,49 144 
251300,01 144 
251301,01 144 
251779,45 101 
251780,6 100 
251780,6 53 
251819,66 1
251819,66 2
251819,66 2
251819,66 60 
251858,92 61 
251898,88 63 
251919,62 60 
252250,96 61 
253268,21 62 
253555,01 64 
254117,44 123 
254641,33 125 
255100,11 137 
255160,68 65 
255597,26 144 
255598,93 144 
255600,7 144 
256076,97 101 
256078,09 100 
256078,09 53 
256117,92 1
256117,92 1
256117,92 1
256117,92 60 
256301,01 61 
257113,9 63 
257134,49 60 
257735,47 61 
258746,94 63 
258766,95 60 
259238,05 61 
260250,4 62 
260696,29 64 
261023,39 121 
261494,07 124 
271508,3 252 
271508,3 101 
271510,05 100 
271510,05 53 
271529,41 1
271529,41 1
271529,41 1
271529,41 60 
275524,82 61 
276544,1 62 
276830,33 64 
277129,26 121 
277654,06 125 
277992,33 137 
278174,77 65 
278622,49 144 
278624,48 144 
278626,29 144 
279102,25 101 
279103,41 100 
279103,41 53 
279143,66 1
279143,66 1
279143,66 2
279143,66 60 
279617,91 61 
280579,57 63 
280593,39 60 
280983,19 111 
281187,69 114 
281226,33 60 
281438,47 61 
282460,48 62 
282614,1 64 
282936,58 121 
283467,43 125 
283989,84 65 
284444,54 144 
284447,78 144 
284917,14 101 
284918,31 100 
284918,31 53 
284941,95 2
284941,95 2
284941,95 2
284941,95 60 
284948,58 111 
286753,88 114 
286791,62 60 
287175,34 61 
287745,05 63 
287757,36 60 
288015,4 111 
288642,6 114 
288675,64 60 
288719,18 61 
289740,71 62 
290404,18 64 
290696,45 121 
291255,8 125 
291623,45 137 
291769,42 66 
292218,68 144 
292220,28 144 
292221,5 144 
292761,17 101 
292762,96 100 
292762,96 53 
292806,05 1
292806,05 2
292806,05 2
