TotalRequired,  320
t_hold_target,  450
T_Hold_Lev,  1000


277,36 8
277,36 52 
355,15 100 
355,15 52 
369,68 1
369,68 1
369,68 2
369,68 60 
6929,94 61 
7949 62 
8519,99 64 
17957,73 252 
17957,73 101 
17959,73 100 
17959,73 52 
17979,52 1
17979,52 1
17979,52 2
17979,52 60 
18875,22 61 
19665,93 63 
19678,85 60 
26601,45 61 
27207,17 63 
27226,17 60 
44716,54 61 
45622,58 63 
45637,84 60 
69372,53 61 
69659,01 63 
69679,96 60 
100844,32 61 
100927,04 63 
100936,73 60 
270386,72 61 
271308,65 63 
271328,8 60 
292946,11 61 
293758,74 63 
293774,03 60 
353509,5 61 
354007,55 63 
354019,06 60 
354472 61 
354667,4 63 
354685,42 60 
354805,32 61 
355077,94 63 
355086,26 60 
449358,63 61 
449524,66 63 
449536,6 60 
449752,06 61 
449790,49 63 
449802,77 60 
517344,58 61 
518084,81 63 
518097,22 60 
543706,37 61 
544722,03 62 
545054,69 64 
554732,04 252 
554732,04 101 
554733,63 100 
554733,63 52 
554752 1
554752 1
554752 2
554752 60 
557751,2 61 
558766,76 62 
559629,2 64 
568775,49 252 
568775,49 101 
568777,08 100 
568777,08 52 
568798,02 1
568798,02 1
568798,02 2
568798,02 60 
579894,29 61 
580910,44 62 
581370,51 64 
581644,83 121 
582025,05 124 
592034,82 252 
592034,82 101 
592036,43 100 
592036,43 52 
592056,18 1
592056,18 1
592056,18 2
592056,18 60 
634546,99 111 
634631,13 114 
634675,54 60 
691749,98 61 
692771,86 62 
693190,29 64 
693497,33 121 
694028,23 125 
694202,75 137 
694551,7 65 
695109,86 144 
695114 144 
695115,7 144 
695580,55 101 
695582,05 100 
695582,05 52 
695622,16 1
695622,16 2
695622,16 2
695622,16 60 
695897,62 61 
696839,6 63 
696855,67 60 
697185,74 111 
697505,86 114 
697538,09 60 
697874,88 61 
698887,04 62 
698944,02 64 
699354,39 121 
699862,21 125 
700080,76 137 
700384,21 66 
700917,16 144 
700918,64 144 
700920,7 144 
701394,84 101 
701395,95 100 
701395,95 52 
701436,69 1
701436,69 2
701436,69 2
701436,69 60 
703895,58 61 
704879,7 63 
704902,33 60 
704916,49 61 
704934,36 63 
704952,33 60 
705252,59 111 
705566,01 114 
705602,85 60 
705880,95 61 
706901,57 62 
707098,34 64 
707444,66 122 
707975,49 125 
708340,01 137 
708497,81 65 
709022,29 144 
709024,13 144 
709025,03 144 
709510,03 101 
709511,22 100 
709511,22 52 
709550,91 2
709550,91 2
709550,91 2
709550,91 60 
709806,63 61 
710680,44 63 
710700,27 60 
711116,63 112 
711652,89 114 
711684,39 60 
712064,11 61 
713083,25 62 
713134,47 64 
713522,59 122 
714039,95 125 
714478,02 137 
714563,41 66 
715111,98 144 
715113,41 144 
715114,55 144 
716806,6 101 
716807,71 100 
716807,71 52 
716848,23 1
716848,23 2
716848,23 2
716848,23 60 
717228,97 112 
717468,08 114 
717514,63 60 
717874,98 61 
718896,62 62 
719185,74 64 
719486,34 123 
720033,15 125 
720342,7 137 
720543,34 66 
721092,22 144 
721093,68 144 
721094,84 144 
721526,94 141 
721578,14 101 
721579,51 100 
721579,51 52 
721630,11 1
721630,11 2
721630,11 1
721630,11 60 
721660,75 111 
722439,92 114 
722496,21 60 
724696,65 111 
726904,65 114 
726946,01 60 
727471,83 61 
728493,97 62 
728816,08 64 
729158,97 122 
729734,94 125 
730256,45 65 
730272,24 137 
730804,54 144 
730806,21 144 
730807,38 144 
731286,26 101 
731287,37 100 
731287,37 52 
731343,6 1
731343,6 1
731343,6 2
731343,6 60 
733390,12 112 
733575,91 114 
733625,82 60 
733851,69 61 
734874,97 62 
736370,05 64 
736684,57 122 
737243,78 125 
737754,35 65 
737848,4 137 
738304,18 144 
738305,73 144 
738306,87 144 
738783,4 101 
738784,63 100 
738784,63 52 
738824,33 2
738824,33 2
738824,33 2
738824,33 60 
739119,33 61 
740140,94 62 
740178,04 64 
740463,52 122 
740990,86 125 
741374,64 137 
741504,76 66 
742052,58 144 
742054,01 144 
742055,09 144 
742531,88 101 
742533 100 
742533 52 
742573,3 1
742573,3 2
742573,3 2
742573,3 60 
743756,42 61 
743817,76 63 
743840,35 60 
744273,57 112 
744681,84 114 
744722,35 60 
745085,02 61 
746104,93 62 
746356,27 64 
746658,61 122 
747166,32 125 
747684,21 65 
747774,81 137 
748233,91 144 
748235,28 144 
748236,51 144 
748713,7 101 
748714,9 100 
748714,9 52 
748754,49 1
748754,49 2
748754,49 1
748754,49 60 
748941,24 61 
749953,41 62 
750024,78 64 
750396,26 122 
750928,06 125 
751342,95 137 
751450,71 65 
751998,73 144 
752000,12 144 
752001,01 144 
752479,08 101 
752480,42 100 
752480,42 52 
752519,8 1
752519,8 1
752519,8 2
752519,8 60 
752720,36 61 
753736,22 62 
753894,6 64 
754185,31 122 
754751,37 125 
755265,57 65 
755437,93 137 
755797,86 144 
755799,42 144 
755800,83 144 
756276,83 101 
756277,98 100 
756277,98 52 
756318,4 1
756318,4 2
756318,4 2
756318,4 60 
757632,33 61 
757712,04 63 
757735,5 60 
758037,2 112 
758424,94 114 
758467,63 60 
758700,16 61 
759719,17 62 
759770,68 64 
760024,74 122 
760542,32 125 
760850,62 137 
761064,13 65 
761612,94 144 
761615,08 144 
761616,15 144 
762091,95 101 
762093,06 100 
762093,06 52 
762133,36 1
762133,36 2
762133,36 1
762133,36 60 
762302,35 61 
763315,83 62 
763382,41 64 
763654,71 122 
764177,75 125 
764583,3 137 
764696,28 65 
765244,31 144 
765245,81 144 
765247,18 144 
765725,13 101 
765726,25 100 
765726,25 52 
765765,41 1
765765,41 1
765765,41 1
765765,41 60 
765987,66 61 
766858,3 63 
766866,89 60 
767139,79 112 
767686,67 114 
767731,35 60 
767978,71 61 
768996,55 62 
769362,82 64 
769592,9 122 
770123,86 125 
770554,92 137 
770644,33 65 
771192,63 144 
771194,13 144 
771195,28 144 
771672,64 101 
771673,87 100 
771673,87 52 
771713,39 2
771713,39 2
771713,39 2
771713,39 60 
771954,05 61 
772964,21 62 
