TotalRequired,  300
t_hold_target,  450
T_Hold_Lev,  1000


68,92 8
68,92 53 
126,05 100 
126,05 53 
140,47 1
140,47 2
140,47 1
140,47 60 
9062,61 61 
10083,64 62 
11703,33 64 
20093,62 252 
20093,62 101 
20097,79 100 
20097,79 53 
20116,07 1
20116,07 2
20116,07 1
20116,07 60 
22910,88 61 
23929,11 62 
24950,92 64 
25314,43 121 
25740,84 124 
35754,41 252 
35754,41 101 
35756,26 100 
35756,26 53 
35776,54 1
35776,54 2
35776,54 1
35776,54 60 
36748,04 61 
37730 63 
37742,39 60 
50285 61 
51302,97 62 
54186,08 64 
54599,26 121 
55163,54 125 
55683,47 66 
56141,39 144 
56143,64 144 
56676,47 144 
56688,46 101 
56690,11 100 
56690,11 53 
56752,38 1
56752,38 2
56752,38 2
56752,38 60 
57520,23 61 
58261,84 63 
58284,61 60 
62093,58 61 
63116,57 62 
68239,26 64 
73125,85 252 
73125,85 101 
73127,69 100 
73127,69 53 
73146,79 1
73146,79 2
73146,79 2
73146,79 60 
75188,46 61 
76199,15 62 
82375,69 64 
86205,01 252 
86205,01 101 
86206,84 100 
86206,84 53 
86226,09 1
86226,09 2
86226,09 2
86226,09 60 
99215,41 61 
100237 62 
103037,04 64 
110246,87 252 
110246,87 101 
110248,66 100 
110248,66 53 
110268,18 1
110268,18 2
110268,18 2
110268,18 60 
110333,07 61 
111349,97 62 
117443,7 64 
121358,28 252 
121358,28 101 
121360,12 100 
121360,12 53 
121381,01 1
121381,01 2
121381,01 2
121381,01 60 
123871,04 61 
124881,18 62 
131882,39 64 
134888,41 252 
134888,41 101 
134890,22 100 
134890,22 53 
134911,16 1
134911,16 2
134911,16 2
134911,16 60 
142597,57 61 
143608,51 62 
147527,94 64 
153614,62 252 
153614,62 101 
153616,6 100 
153616,6 53 
153636,6 1
153636,6 2
153636,6 2
153636,6 60 
154543,47 61 
155557,29 62 
157409,82 64 
165560,21 252 
165560,21 101 
165562,03 100 
165562,03 53 
165583,36 1
165583,36 2
165583,36 2
165583,36 60 
165805,46 61 
166149,14 63 
166166,18 60 
187396,1 61 
188409,07 62 
195776,6 64 
198416,05 252 
198416,05 101 
198418,3 100 
198418,3 53 
198438,47 1
198438,47 2
198438,47 2
198438,47 60 
218029,29 61 
219047,47 62 
225518,75 64 
229057,28 252 
229057,28 101 
229059,1 100 
229059,1 53 
229078,49 1
229078,49 2
229078,49 2
229078,49 60 
247226,38 61 
248239,84 62 
252421,09 64 
258248,53 252 
258248,53 101 
258250,48 100 
258250,48 53 
258268,63 1
258268,63 2
258268,63 2
258268,63 60 
260851,51 61 
261867,04 62 
261934,83 64 
271874,91 252 
271874,91 101 
271876,83 100 
271876,83 53 
271897,49 1
271897,49 2
271897,49 2
271897,49 60 
271902,31 61 
272914,81 62 
273960,49 64 
282921,8 252 
282921,8 101 
282923,54 100 
282923,54 53 
282943,82 1
282943,82 2
282943,82 2
282943,82 60 
283787,45 61 
284121,76 63 
284144,28 60 
284597,45 61 
285133,75 63 
285143,04 60 
291878,69 111 
292918,7 114 
292957,23 60 
293222,34 61 
294240,28 62 
294964,7 64 
295316,13 121 
295890,76 125 
296402,51 66 
296647,93 137 
296852,41 144 
296853,97 144 
296855,3 144 
299379,76 101 
299381,42 100 
299381,42 53 
299421,71 1
299421,71 1
299421,71 2
299421,71 60 
299681,85 111 
300198,68 114 
300238,47 60 
300282,68 61 
301306,96 62 
304022,48 64 
304396,74 123 
304940,95 125 
305029,85 137 
305450,29 65 
305900,83 144 
305902,46 144 
305903,97 144 
306379,28 101 
306380,91 100 
306380,91 53 
306419,45 1
306419,45 2
306419,45 2
306419,45 60 
306643,46 61 
307654,61 62 
307796,28 64 
308126,21 123 
308678,73 125 
308952,03 137 
309198,53 65 
309647,31 144 
309649,12 144 
309650,95 144 
310127,12 101 
310128,31 100 
310128,31 53 
310169,4 1
310169,4 2
310169,4 2
310169,4 60 
310576 61 
311437,03 63 
311452,26 60 
311740,3 113 
311906,97 114 
311950,8 60 
312228,86 61 
313250,69 62 
313780,73 64 
314096,81 123 
314641,98 125 
315039,12 137 
315164,55 65 
315596,78 144 
315598,36 144 
315599,73 144 
316075,11 101 
316076,42 100 
316076,42 53 
316116,19 1
316116,19 2
316116,19 2
316116,19 60 
316239 61 
317250,74 62 
317502,82 64 
317781,94 123 
318290,42 125 
318759,02 137 
318833,46 65 
319260,89 144 
319262,49 144 
319263,69 144 
319740,39 101 
319741,57 100 
319741,57 53 
319781,95 2
319781,95 2
319781,95 2
319781,95 60 
320104,15 61 
321116,35 62 
321304,77 64 
321612,4 123 
322149,74 125 
322491,55 137 
322660,41 66 
323110,89 144 
323113,38 144 
323115,38 144 
325037,44 101 
325039,2 100 
325039,2 53 
325080,22 1
325080,22 1
325080,22 1
325080,22 60 
325379,79 113 
325635,28 114 
325680,74 60 
325911,09 61 
326930,98 62 
327312,95 64 
327631,64 123 
328168,77 125 
328675,98 65 
329147,26 144 
329149,16 144 
329452,44 144 
329621,73 101 
329622,99 100 
329622,99 53 
329661,74 2
329661,74 2
329661,74 2
329661,74 60 
329920,82 61 
329954,63 63 
329965,3 60 
329974,6 61 
329994,44 63 
330016,21 60 
331685,78 113 
331771,07 114 
331795,04 60 
332070,07 61 
332360,86 63 
332377,57 60 
333552,77 61 
334562,27 62 
335134,11 64 
335459,81 123 
335983,77 125 
336284,56 137 
336507,72 66 
336956,62 144 
336960,37 144 
336962,43 144 
339201,44 101 
339203,16 100 
339203,16 53 
339241,88 1
339241,88 2
339241,88 1
339241,88 60 
339519,32 113 
339636,52 114 
339674,86 60 
339934,88 61 
340957,28 62 
352574,95 64 
352576,96 252 
352576,96 101 
352580,02 100 
352580,02 53 
352604,17 1
352604,17 2
352604,17 1
352604,17 60 
353780,38 61 
354803,06 62 
355679,67 64 
356022,13 123 
356545,25 125 
357039,25 137 
357103,09 65 
357533,56 144 
357535,27 144 
357536,51 144 
358010,71 101 
358011,92 100 
358011,92 53 
358052,87 2
358052,87 2
358052,87 1
358052,87 60 
358288,05 61 
359028,14 63 
