TotalRequired,  250
t_hold_target,  450
T_Hold_Lev,  1000


73,69 8
73,69 51 
126,58 100 
126,58 51 
159,05 1
159,05 2
159,05 1
159,05 60 
18861,18 111 
19007,93 114 
19030,35 60 
20211,56 61 
21231,73 62 
21899,56 64 
31238,37 252 
31238,37 101 
31240,12 100 
31240,12 51 
31259,54 1
31259,54 2
31259,54 1
31259,54 60 
51317,11 111 
51429,29 114 
51469,59 60 
51699,75 111 
52158,02 114 
52202,43 60 
93236,46 61 
94255,07 62 
95282,33 64 
95608,39 121 
96135,09 125 
96650,61 65 
96931,13 144 
96934,03 144 
97356,61 144 
97396,95 101 
97398,51 100 
97398,51 51 
97439,93 1
97439,93 2
97439,93 2
97439,93 60 
97880,72 61 
98904,02 62 
99442,62 64 
99753,49 121 
100276,79 125 
100782,31 65 
100988,07 144 
100989,69 144 
101440,63 144 
101478,71 101 
101480,25 100 
101480,25 51 
101521,04 1
101521,04 1
101521,04 1
101521,04 60 
101934,61 61 
102952,95 62 
103328,8 64 
103619,74 121 
104165,4 125 
104681,52 65 
104885,47 144 
104887,18 144 
105377,25 101 
105378,48 100 
105378,48 51 
105401,66 2
105401,66 2
105401,66 2
105401,66 60 
105407,42 111 
105499,56 114 
105538,51 60 
106048,38 61 
107067,78 62 
107400,63 64 
107711,84 121 
108253,38 125 
108764,24 66 
108987,78 144 
108989,41 144 
109364,85 144 
109476,04 101 
109477,16 100 
109477,16 51 
109517,25 1
109517,25 2
109517,25 2
109517,25 60 
109836,15 61 
110850,93 62 
111962,58 64 
120857,81 252 
120857,81 101 
120859,58 100 
120859,58 51 
120880,65 1
120880,65 2
120880,65 2
120880,65 60 
120885,8 61 
121510,55 63 
121529,89 60 
146115,32 61 
147139,03 62 
149635,09 64 
157146,36 252 
157146,36 101 
157148,84 100 
157148,84 51 
157168,07 1
157168,07 2
157168,07 2
157168,07 60 
178751,6 61 
179737,39 63 
179760,77 60 
205083,11 111 
205895,57 114 
205936,31 60 
228269,74 111 
228717,79 114 
228761,18 60 
257733,36 61 
258751,16 62 
261063,34 64 
268759,08 252 
268759,08 101 
268760,77 100 
268760,77 51 
268781,36 1
268781,36 2
268781,36 2
268781,36 60 
310556,82 61 
311567,32 62 
311702,57 64 
321574,91 252 
321574,91 101 
321576,66 100 
321576,66 51 
321597,45 1
321597,45 2
321597,45 2
321597,45 60 
338797,54 111 
339172,37 114 
339208,25 60 
344334,8 61 
345356,45 62 
346294,82 64 
349223,68 121 
349776,77 125 
350075,88 137 
350299,87 65 
350548,91 144 
350551,41 144 
350552,95 144 
351028,44 101 
351029,62 100 
351029,62 51 
351070,96 1
351070,96 2
351070,96 2
351070,96 60 
355149,46 61 
355168,02 63 
355186,7 60 
355487,58 111 
356473,24 114 
356521,2 60 
357271,46 61 
358285,84 62 
358486,64 64 
358828,35 123 
359376,29 125 
359728,32 137 
359898,72 66 
360149,35 144 
360151,11 144 
360152,66 144 
360625,53 101 
360626,78 100 
360626,78 51 
360667,61 2
360667,61 2
360667,61 2
360667,61 60 
360800,35 61 
361817,63 62 
362058,14 64 
362373,46 121 
362918,88 125 
363430,82 66 
363695,45 144 
363699,43 144 
363926,32 144 
364041,32 141 
364101,32 144 
364105,58 144 
364109,77 144 
364178 101 
364181,11 100 
364181,11 51 
364219,68 1
364219,68 2
364219,68 2
364219,68 60 
369142,97 111 
370073,71 114 
370114,86 60 
370700,12 61 
371714,88 62 
372286,42 64 
372636,88 123 
373153,54 125 
373675,65 66 
373941,38 144 
373943,06 144 
374405,28 101 
374406,45 100 
374406,45 51 
374429,74 1
374429,74 2
374429,74 2
374429,74 60 
374435,08 113 
374613,9 114 
374646,42 60 
374838,16 61 
375846,35 62 
377290,27 64 
377659,88 122 
378188,12 125 
378479,37 137 
378707,19 66 
378963,29 144 
378965 144 
378966,43 144 
379437,49 101 
379438,67 100 
379438,67 51 
379478,15 1
379478,15 1
379478,15 2
379478,15 60 
381912,84 61 
382927,63 62 
385081,38 64 
385518,27 121 
386049,81 125 
386407,09 137 
386572,34 65 
386826,23 144 
386828,18 144 
386829,39 144 
387300,65 101 
387301,81 100 
387301,81 51 
387342,07 1
387342,07 2
387342,07 2
387342,07 60 
387806,34 61 
388826,26 62 
388899,9 64 
389300,54 121 
389831,96 125 
390273,99 137 
390357,41 65 
390607,29 144 
390611,28 144 
390613,4 144 
391082,81 101 
391084,05 100 
391084,05 51 
391124,61 1
391124,61 1
391124,61 1
391124,61 60 
392230,55 61 
392611,07 63 
392624,28 60 
392973,81 111 
394077,63 114 
394123,32 60 
395103,89 61 
396123,13 62 
397046,72 64 
397390,38 121 
397912,32 125 
398377,03 137 
398435,56 65 
398687,6 144 
398689,45 144 
398690,86 144 
399164,37 101 
399165,56 100 
399165,56 51 
399204,89 1
399204,89 2
399204,89 2
399204,89 60 
399652 61 
400580 63 
400588,62 60 
400958,11 111 
402579,44 114 
402620,34 60 
402897,7 61 
403597,9 63 
403621,63 60 
407783,96 61 
408083,83 63 
408102,06 60 
444971,91 111 
445864,32 114 
445906,18 60 
473770,02 61 
474782,78 62 
476980,78 64 
484788,7 252 
484788,7 101 
484790,52 100 
484790,52 51 
484810,85 1
484810,85 2
484810,85 2
484810,85 60 
498524,61 61 
499538,99 62 
506368,57 64 
509547,01 252 
509547,01 101 
509548,83 100 
509548,83 51 
509568,85 1
509568,85 2
509568,85 2
509568,85 60 
523035,98 61 
524046,84 62 
525276,63 64 
525627,13 121 
526155,83 125 
526396,26 137 
526675,66 65 
526930,03 144 
526935,24 144 
526936,79 144 
527404,51 101 
527405,87 100 
527405,87 51 
527446,64 2
527446,64 2
527446,64 2
527446,64 60 
527961,13 61 
528978,49 62 
529191,61 64 
529518,64 121 
530041,61 125 
530340,18 137 
530557,39 66 
530813,14 144 
530814,93 144 
530820,07 144 
532745,09 101 
532746,65 100 
532746,65 51 
532795,29 1
532795,29 2
532795,29 2
532795,29 60 
533144,34 112 
533240,18 114 
533262,86 60 
533415,85 61 
534426,77 62 
534768,72 64 
535101,07 121 
535620,09 125 
536139,63 65 
