TotalRequired,  200
t_hold_target,  450
T_Hold_Lev,  1000


348,47 8
348,47 53 
558,3 100 
558,3 53 
585,59 1
585,59 1
585,59 2
585,59 60 
82894,16 61 
83363,62 63 
83372,4 60 
131126,82 61 
132138,14 62 
132186,33 64 
142147,85 252 
142147,85 101 
142149,41 100 
142149,41 53 
142169,28 1
142169,28 1
142169,28 2
142169,28 60 
174885,57 61 
175907,07 62 
176601,24 64 
185914,51 252 
185914,51 101 
185916,02 100 
185916,02 53 
185936,99 1
185936,99 1
185936,99 2
185936,99 60 
230410,29 61 
231376,8 63 
231389,13 60 
345064,08 61 
345935,92 63 
345951,08 60 
367420,85 61 
368174,57 63 
368193,83 60 
368198,34 61 
368231,79 63 
368245,39 60 
406923,71 61 
407931,79 62 
408095,42 64 
417939,75 252 
417939,75 101 
417941,5 100 
417941,5 53 
417960,97 1
417960,97 1
417960,97 2
417960,97 60 
462576,79 61 
463595,83 62 
463969,18 64 
464273,92 121 
464804,4 125 
464929,56 137 
465139,76 131 
465325,88 66 
465668,27 137 
465873,63 144 
465875,41 144 
465876,75 144 
466355,02 101 
466356,3 100 
466356,3 53 
466395,06 1
466395,06 2
466395,06 2
466395,06 60 
514320,05 111 
514795,37 114 
514829,36 60 
515203,25 111 
515269,67 114 
515296,48 60 
515309,56 111 
515356,89 114 
515395,21 60 
589424,21 111 
590006,21 114 
590054,29 60 
652735,99 61 
653750,44 62 
653829,4 64 
653998,95 121 
654550,34 125 
655063,95 66 
655080,59 137 
655626,08 144 
655627,69 144 
655628,98 144 
656091,2 101 
656092,32 100 
656092,32 53 
656132,71 2
656132,71 2
656132,71 2
656132,71 60 
656170,27 61 
657199,84 62 
658649,76 64 
667206,72 252 
667206,72 101 
667208,24 100 
667208,24 53 
667228,85 2
667228,85 2
667228,85 2
667228,85 60 
745064,61 111 
745843,31 114 
745886,25 60 
794165,96 61 
795186,7 62 
795733,77 64 
795977,49 121 
796494,86 125 
796665,21 137 
797015,68 66 
797569,04 144 
797570,39 144 
797572,51 144 
801884,92 101 
801886,2 100 
801886,2 53 
801934,79 1
801934,79 2
801934,79 2
801934,79 60 
802745 61 
803767,72 62 
804351,71 64 
804613,39 123 
805155,21 125 
805663,8 65 
805784,19 137 
806210,46 144 
806211,85 144 
806213,04 144 
806692,22 101 
806693,41 100 
806693,41 53 
806734,09 1
806734,09 2
806734,09 1
806734,09 60 
806928,21 61 
807949,46 62 
807967,06 64 
808195,09 123 
808721,56 125 
809230,64 65 
809632,47 137 
809776,94 144 
809778,17 144 
809779,07 144 
810257,92 101 
810258,99 100 
810258,99 53 
810298,65 1
810298,65 2
810298,65 2
810298,65 60 
810591,8 61 
811615,76 62 
811747,05 64 
812095,87 123 
812620,36 125 
813129,66 65 
813681,28 144 
813682,96 144 
814155,29 101 
814157,1 100 
814157,1 53 
814180,61 1
814180,61 2
814180,61 2
814180,61 60 
815545,38 113 
815596,28 114 
815613,62 60 
815849,52 61 
816862,62 62 
818829,23 64 
819084,67 123 
819601,91 125 
820110,27 65 
820629,62 144 
820630,85 144 
820927,36 144 
821121,55 101 
821122,66 100 
821122,66 53 
821161,57 1
821161,57 2
821161,57 2
821161,57 60 
821326,87 61 
822343,83 62 
822480,88 64 
822732,78 123 
823258,21 125 
823774,46 65 
823779,54 137 
824305,63 144 
824307,43 144 
824308,43 144 
824610,78 143 
824677,69 144 
824679,38 144 
824682,72 144 
824786,57 101 
824787,76 100 
824787,76 53 
824810,42 1
824810,42 1
824810,42 2
824810,42 60 
825030,8 61 
826042,88 62 
826259,77 64 
826471,28 123 
827011,38 125 
827524,69 65 
828026,77 144 
828028,08 144 
828398,69 144 
828517,46 101 
828518,56 100 
828518,56 53 
828559,14 2
828559,14 2
828559,14 1
828559,14 60 
828789,14 61 
829808,58 62 
830496,47 64 
830723,98 123 
831261,28 125 
831772,97 66 
832275,11 144 
832276,52 144 
832442,7 144 
834515,67 101 
834516,85 100 
834516,85 53 
834558,3 1
834558,3 2
834558,3 2
834558,3 60 
834800,68 111 
836804,8 114 
836839,79 60 
837007,88 61 
838022,08 62 
841085,97 64 
848032,02 252 
848032,02 101 
848033,58 100 
848033,58 53 
848052,98 1
848052,98 2
848052,98 2
848052,98 60 
880801,04 61 
881808,43 62 
885448,89 64 
891815,94 252 
891815,94 101 
891817,51 100 
891817,51 53 
891838,66 1
891838,66 2
891838,66 2
891838,66 60 
916346,89 61 
917364,61 62 
917703,62 64 
917960,35 121 
918484,8 125 
918714 137 
918993,85 66 
919541,63 144 
919543,29 144 
919544,74 144 
920021,44 101 
920022,61 100 
920022,61 53 
920062,86 1
920062,86 2
920062,86 1
920062,86 60 
920091,5 61 
921115,79 62 
921902,55 64 
924805,97 121 
925333,98 125 
925841,1 65 
926103,71 137 
926388,4 144 
926390 144 
926391,16 144 
926875,36 101 
926876,39 100 
926876,39 53 
926909,88 2
926909,88 2
926909,88 1
926909,88 60 
927376,75 61 
928393,06 62 
929918,63 64 
930179,42 121 
930738,61 125 
931255,55 65 
931374,06 137 
931804,22 144 
931805,7 144 
931806,61 144 
932284,64 101 
932285,7 100 
932285,7 53 
932327,1 2
932327,1 1
932327,1 2
932327,1 60 
932786,56 61 
933807,5 62 
934067,58 64 
934358,55 121 
934887,5 125 
935387,38 137 
935452,32 66 
935952,73 144 
935954,48 144 
935955,61 144 
938142,34 101 
938143,73 100 
938143,73 53 
938189,84 1
938189,84 2
938189,84 2
938189,84 60 
938449,4 111 
939407,86 114 
939456,15 60 
939688,51 61 
940705,86 62 
945041,42 64 
950713,89 252 
950713,89 101 
950715,5 100 
950715,5 53 
950736,37 1
950736,37 2
950736,37 2
950736,37 60 
1000959,1 61 
1001192,74 63 
1001202,56 60 
1022021,77 61 
1022046,03 63 
1022062,23 60 
1023705,37 61 
1023752,16 63 
1023762,64 60 
1111789,84 61 
1112799,71 62 
1113658,99 64 
1113913,8 121 
1114464,83 125 
1114868,03 137 
1114979,21 66 
1115526,57 144 
1115529,19 144 
1115530,28 144 
1117335,48 101 
1117336,65 100 
1117336,65 53 
